,abstract,original title,best title,generated title before RL,generated title after RL
10,"We present a generalized discriminative model for spelling error correction which targets character-level transformations. While operating at the character level, the model makes use of wordlevel and contextual information. In contrast to previous work, the proposed approach learns to correct a variety of error types without guidance of manuallyselected constraints or language-specific features. We apply the model to correct errors in Egyptian Arabic dialect text, achieving 65% reduction in word error rate over the input baseline, and improving over the earlier state-of-the-art system.",Generalized Character-Level Spelling Error Correction,A Discriminative Model for Spelling Error Correction in Arabic Dialect Text,A Generalized Discriminative Model for Spelling Error Correction,Learning Character-Level Models for Spelling Error Correction
11,"Multi-document summarization provides users with a short text that summarizes the information in a set of related documents. This paper introduces affinity-preserving random walk to the summarization task, which preserves the affinity relations of sentences by an absorbing random walk model. Meanwhile, we put forward adjustable affinity-preserving random walk to enforce the diversity constraint of summarization in the random walk process. The ROUGE evaluations on DUC 2003 topic-focused summarization task and DUC 2004 generic summarization task show the good performance of our method, which has the best ROUGE-2 recall among the graph-based ranking methods.",Affinity-Preserving Random Walk for Multi-Document Summarization, Affinity-Preserving Random Walk for Multi-Document Summarization,Aging Random Walk for Multi-Document Summarization,A Framework for Multi-Document Summarization with Affinity-Preserving Random Walk
12,"Much of human dialogue occurs in semi-cooperative settings, where agents with different goals attempt to agree on common decisions. Negotiations require complex communication and reasoning skills, but success is easy to measure, making this an interesting task for AI. We gather a large dataset of human-human negotiations on a multi-issue bargaining task, where agents who cannot observe each other's reward functions must reach an agreement (or a deal) via natural language dialogue. For the first time, we show it is possible to train end-to-end models for negotiation, which must learn both linguistic and reasoning skills with no annotated dialogue states. We also introduce dialogue rollouts, in which the model plans ahead by simulating possible complete continuations of the conversation, and find that this technique dramatically improves performance. Our code and dataset are publicly available.",Deal or No Deal? End-to-End Learning of Negotiation Dialogues,Deal or No Deal? End-to-End Learning of Negotiation Dialogues,Learning to Negotiate in Dialogue: A Large-Scale Multi-issue Bargaining Task,End-to-End Negotiation in Human-Human Dialogue
13,"Minimal peer prediction mechanisms truthfully elicit private information (e.g., opinions or experiences) from rational agents without the requirement that ground truth is eventually revealed. In this paper, we use a geometric perspective to prove that minimal peer prediction mechanisms are equivalent to power diagrams, a type of weighted Voronoi diagram. Using this characterization and results from computational geometry, we show that many of the mechanisms in the literature are unique up to affine transformations, and introduce a general method to construct new truthful mechanisms.",A Geometric Method to Construct Minimal Peer Prediction Mechanisms,A Geometric Method to Construct Minimal Peer Prediction Mechanisms,Minimal Peer Prediction Mechanisms are Power Diagrams,Minimal Peer Prediction Mechanisms are Power Diagrams
14,We present a general Bayesian approach to probabilistic matrix factorization subject to linear constraints. The approach is based on a Gaussian observation model and Gaussian priors with bilinear equality and inequality constraints. We present an efficient Markov chain Monte Carlo inference procedure based on Gibbs sampling. Special cases of the proposed model are Bayesian formulations of nonnegative matrix factorization and factor analysis. The method is evaluated on a blind source separation problem. We demonstrate that our algorithm can be used to extract meaningful and interpretable features that are remarkably different from features extracted using existing related matrix factorization techniques.,Linearly constrained Bayesian matrix factorization for blind source separation,Bayesian Probabilistic Matrix Factorization with Linear Constraints,Bayesian Matrix Factorization with Gaussian Priors,Bayesian Matrix Factorization
15,"Research on temporal knowledge bases, which associate a relational fact (s,r,o) with a validity time period (or time instant), is in its early days. Our work considers predicting missing entities (link prediction) and missing time intervals (time prediction) as joint Temporal Knowledge Base Completion (TKBC) tasks, and presents TIMEPLEX, a novel TKBC method, in which entities, relations and, time are all embedded in a uniform, compatible space. TIMEPLEX exploits the recurrent nature of some facts/events and temporal interactions between pairs of relations, yielding state-of-the-art results on both prediction tasks. We also find that existing TKBC models heavily overestimate link prediction performance due to imperfect evaluation mechanisms. In response, we propose improved TKBC evaluation protocols for both link and time prediction tasks, dealing with subtle issues that arise from the partial overlap of time intervals in gold instances and system predictions.",Temporal Knowledge Base Completion: New Algorithms and Evaluation Protocols,TIMEPLEX: Joint Entity and Time Prediction for Temporal Knowledge Base Completion,TIMEPLEX: Joint Entity and Time Prediction for Temporal Knowledge Base Completion,TIMEPLEX: Joint Entity and Time Prediction in Temporal Knowledge Bases
16,"In the Colonel Blotto game, which was initially introduced by Borel in 1921, two colonels simultaneously distribute their troops across different battlefields. The winner of each battlefield is determined independently by a winner-take-all rule. The ultimate payoff of each colonel is the number of battlefields he wins. This game is commonly used for analyzing a wide range of applications such as the U.S presidential election, innovative technology competitions, advertisements, etc. There have been persistent efforts for finding the optimal strategies for the Colonel Blotto game. After almost a century Ahmadinejad, Dehghani, Hajiaghayi, Lucier, Mahini, and Seddighin provided a poly-time algorithm for finding the",Faster and Simpler Algorithm for Optimal Strategies of Blotto Game,Faster and Simpler Algorithm for Optimal Strategies of Blotto Game,Finding Optimal Strategies for the Colonel Blotto Game,Finding Optimal Strategies for the Colonel Blotto Game
17,"This paper proposes a new computational treatment of lexical rules as used in the HPSG framework. A compiler is described which translates a set of lexical rules and their interaction into a definite clause encoding, which is called by the base lexical entries in the lexicon. This way, the disjunctive possibilities arising from lexical rule application are encoded as systematic covariation in the specification of lexical entries. The compiler ensures the automatic transfer of properties not changed by a lexical rule. Program transformation techniques are used to advance the encoding. The final output of the compiler constitutes an efficient computational counterpart of the linguistic generalizations captured by lexical rules and allows on-the-fly application of lexical rules.",A Computational Treatment of Lexical Rules in HPSG as Covariation in Lexical Entries,A Computational Treatment of Lexical Rules in HPSG,A Computational Treatment of Lexical Rules,A Computational Treatment of Lexical Rules with Discourse Encoders
18,"We consider the task of automatically identifying participants’ motivations in the public health campaign Movember and investigate the impact of the different motivations on the amount of campaign donations raised. Our classification scheme is based on the Social Identity Model of Collective Action (van Zomeren et al., 2008). We find that automatic classification based on Movember profiles is fairly accurate, while automatic classification based on tweets is challenging. Using our classifier, we find a strong relation between types of motivations and donations. Our study is a first step towards scaling-up collective action research methods.",#SupportTheCause: Identifying Motivations to Participate in Online Health Campaigns,Automatic Identification of Participants' Motives in the Public Health Campaign Movember,Automatic classification of motivations in Movember,Automatic Classification of Movember Participants' Motivations
19,"We propose a metric learning framework for the construction of invariant geometric functions of planar curves for the Euclidean and Similarity group of transformations. We leverage on the representational power of convolutional neural networks to compute these geometric quantities. In comparison with axiomatic constructions, we show that the invariants approximated by the learning architectures have better numerical qualities such as robustness to noise, resiliency to sampling, as well as the ability to adapt to occlusion and partiality. Finally, we develop a novel multi-scale representation in a similarity metric learning paradigm.",Learning Invariant Representations Of Planar Curves,Learning invariant geometric functions of planar curves for Euclidean and Similarity transformations,Metric Learning of Similarity Metric Functions,Metric Learning of Similarity-Based Geometric Functions
20,"Semantic grammars can be applied both as a language model for a speech recognizer and for semantic parsing, e.g. in order to map the output of a speech recognizer into formal meaning representations. Semantic speech recognition grammars are, however, typically created manually or learned in a supervised fashion, requiring extensive manual effort in both cases. Aiming to reduce this effort, in this paper we investigate the induction of semantic speech recognition grammars under weak supervision. We present empirical results, indicating that the induced grammars support semantic parsing of speech with a rather low loss in performance when compared to parsing of input without recognition errors. Further, we show improved parsing performance compared to applying n-gram models as language models and demonstrate how our semantic speech recognition grammars can be enhanced by weights based on occurrence frequencies, yielding an improvement in parsing performance over applying unweighted grammars.",Semantic parsing of speech using grammars learned with weak supervision,Weakly Supervised Induction of Semantic Speech Recognition Grammars,Weakly Supervised Induction of Semantic Speech Recognition Grammars,Weakly Supervised Induction of Semantic Speech Recognition Grammars for Semantic Parsing
21,"Bilingual lexicons are fundamental resources. Modern automated lexicon generation methods usually require parallel corpora, which are not available for most language pairs. Lexicons can be generated using non-parallel corpora or a pivot language, but such lexicons are noisy. We present an algorithm for generating a high quality lexicon from a noisy one, which only requires an independent corpus for each language. Our algorithm introduces non-aligned signatures (NAS), a cross-lingual word context similarity score that avoids the over-constrained and inefficient nature of alignment-based methods. We use NAS to eliminate incorrect translations from the generated lexicon. We evaluate our method by improving the quality of noisy Spanish-Hebrew lexicons generated from two pivot English lexicons. Our algorithm substantially outperforms other lexicon generation methods.",Bilingual Lexicon Generation Using Non-Aligned Signatures,Bilingual Lexicon Generation Using Non-Aligned Signatures,Generating Noisy Bilingual Lexicons with Non-aligned Signatures,Noisy Bilingual Lexicon Generation with Non-aligned Signatures
22,"In this paper, we address the task of mapping high-level instructions to sequences of commands in an external environment. Processing these instructions is challenging—they posit goals to be achieved without specifying the steps required to complete them. We describe a method that fills in missing information using an automatically derived environment model that encodes states, transitions, and commands that cause these transitions to happen. We present an efficient approximate approach for learning this environment model as part of a policygradient reinforcement learning algorithm for text interpretation. This design enables learning for mapping high-level instructions, which previous statistical methods cannot handle.1",Reading between the Lines: Learning to Map High-Level Instructions to Commands,Mapping High-Level Instructions to Sequences of Commands in an Environment,Mapping Instructions to Sequences of Commands in an External Environment,Mapping Instructions to Sequences of Commands in an Environment
23,"This paper investigates how hidden layers of deep rectifier networks are capable of transforming two or more pattern sets to be linearly separable while preserving the distances with a guaranteed degree, and proves the universal classification power of such distance preserving rectifier networks. Through the nearly isometric nonlinear transformation in the hidden layers, the margin of the linear separating plane in the output layer and the margin of the nonlinear separating boundary in the original data space can be closely related so that the maximum margin classification in the input data space can be achieved approximately via the maximum margin linear classifiers in the output layer. The generalization performance of such distance preserving deep rectifier neural networks can be well justified by the distance-preserving properties of their hidden layers and the maximum margin property of the linear classifiers in the output layer.",How Can Deep Rectifier Networks Achieve Linear Separability and Preserve Distances?,How Can Deep Rectifier Networks Achieve Linear Separability and Preserve Distances?,Deep Rectifier Neural Networks with Distance-Preserving Features,Nearly Isometric Distance Preserving Deep Rectifier Networks
24,"S OF CURRENT LITERATURE For copies of the following papers on Project SEMSYN, write to Frau HOrmann c / o Project SEMSYN Institut for Informatik Universitat Stuttgart Azenbergstrasse 12 D-7000 Stuttgart 1, West Germany When Mariko Talks to Siegfried Experiences from a Japanese /German Machine",Abstracts of Current Literature,Project SEMSYN: A Study of Current Literature in German,Project SEMYN: A Study of Current Literature,Project SEMYN: A Study of Current Literature
25,We study the problem of learning to track a large quantity of homogeneous objects such as cell tracking in cell culture study and developmental biology. Reliable cell tracking in time-lapse microscopic image sequences is important for modern biomedical research. Existing cell tracking methods are usually kept simple and use only a small number of features to allow for manual parameter tweaking or grid search. We propose a structured learning approach that allows to learn optimum parameters automatically from a training set. This allows for the use of a richer set of features which in turn affords improved tracking compared to recently reported methods on two public benchmark sequences.,Structured Learning for Cell Tracking,A Structured Learning Approach for Reliable Cell Tracking in Microscapes,Learning to Track a Large Number of Objects with Rich Features,Structured Learning for Cell Tracking
26,"We show that the state-of-the-art Transformer MT model is not biased towards monotonic reordering (unlike previous recurrent neural network models), but that nevertheless, long-distance dependencies remain a challenge for the model. Since most dependencies are short-distance, common evaluation metrics will be little influenced by how well systems perform on them. We therefore propose an automatic approach for extracting challenge sets rich with long-distance dependencies, and argue that evaluation using this methodology provides a complementary perspective on system performance. To support our claim, we compile challenge sets for English-German and German-English, which are much larger than any previously released challenge set for MT. The extracted sets are large enough to allow reliable automatic evaluation, which makes the proposed approach a scalable and practical solution for evaluating MT performance on the long-tail of syntactic phenomena.",Automatically Extracting Challenge Sets for Non-Local Phenomena in Neural Machine Translation, Extracting Challenge Sets Rich with Long-Distance Dependencies,Automatic Evaluation of Transformer MT on the Long Tail of Syntactic Phenomena,Automatic Evaluation of Transformer MT on Long-Distance Dependencies
27,"This work presents a first step to a general implementation of the Semantic-Script Theory of Humor (SSTH). Of the scarce amount of research in computational humor, no research had focused on humor generation beyond simple puns and punning riddles. We propose an algorithm for mining simple humorous scripts from a semantic network (ConceptNet) by specifically searching for dual scripts that jointly maximize overlap and incongruity metrics in line with Raskin’s Semantic-Script Theory of Humor. Initial results show that a more relaxed constraint of this form is capable of generating humor of deeper semantic content than wordplay riddles. We evaluate the said metrics through a user-assessed quality of the generated two-liners.",Humor as Circuits in Semantic Networks,Mining Semantic Scripts for Humor Generation,Mining Semantic Scripts for Humor Generation,Mining Semantic Scripts for Humor Generation
28,"Authorship attribution is an active research area which has been prevalent for many decades. Nevertheless, the majority of approaches consider problem sizes of a few candidate authors only, making them difficult to apply to recent scenarios incorporating thousands of authors emerging due to the manifold means to digitally share text. In this study, we focus on such large-scale problems and propose to effectively reduce the number of candidate authors before applying common attribution techniques. By utilizing document embeddings, we show on a novel, comprehensive dataset collection that the set of candidate authors can be reduced with high accuracy. Moreover, we show that common authorship attribution methods substantially benefit from a preliminary reduction if thousands of authors are involved.",Reduce & Attribute: Two-Step Authorship Attribution for Large-Scale Problems,Reduce & Attribute: Two-Step Authorship Attribution for Large-Scale Problems,Reducing the Set of Candidate Authors for Authorship Attribution,Reducing the Set of Candidate Authors for Large-Scale Authorship Attribution
29,"Continuous-space translation models have recently emerged as extremely powerful ways to boost the performance of existing translation systems. A simple, yet effective way to integrate such models in inference is to use them in an N -best rescoring step. In this paper, we focus on this scenario and show that the performance gains in rescoring can be greatly increased when the neural network is trained jointly with all the other model parameters, using an appropriate objective function. Our approach is validated on two domains, where it outperforms strong baselines.",A Discriminative Training Procedure for Continuous Translation Models,Jointly Training Neural Networks for Rescoring in Continuous-Space Translation,Rescoring with Joint Neural Networks for Continuous-Space Translation,Joint Training of Neural Networks for N-Best Reranking in Continuous-Space Translation Models
30,"This paper aims to understand and improve the utility of the dropout operation from the perspective of game-theoretic interactions. We prove that dropout can suppress the strength of interactions between input variables of deep neural networks (DNNs). The theoretic proof is also verified by various experiments. Furthermore, we find that such interactions were strongly related to the over-fitting problem in deep learning. Thus, the utility of dropout can be regarded as decreasing interactions to alleviate the significance of over-fitting. Based on this understanding, we propose an interaction loss to further improve the utility of dropout. Experimental results have shown that the interaction loss can effectively improve the utility of dropout and boost the performance of DNNs.",Interpreting and Boosting Dropout from a Game-Theoretic View,The Utility of Dropout in Deep Neural Networks via Game-Theoretic Interactions,Dropout can suppress interactions between input variables of deep neural networks,Dropout and Interaction Loss in Deep Learning
31,"There has recently been a lot of interest in unsupervised methods for learning sense distributions, particularly in applications where sense distinctions are needed. This paper analyses a state-of-the-art method for sense distribution learning, and optimises it for application to the entire vocabulary of a given language. The optimised method is then used to produce LEXSEMTM: a sense frequency and semantic dataset of unprecedented size, spanning approximately 88% of polysemous, English simplex lemmas, which is released as a public resource to the community. Finally, the quality of this data is investigated, and the LEXSEMTM sense distributions are shown to be superior to those based on the WORDNET first sense for lemmas missing from SEMCOR, and at least on par with SEMCOR-based distributions otherwise.",LexSemTm: A Semantic Dataset Based on All-words Unsupervised Sense Distribution Learning,LexSemTm: A Semantic Dataset Based on All-words Unsupervised Sense Distribution Learning,Learning Sense Distributions for English,Optimising Sense Distributions for the English Vocabulary
32,"This paper introduces a new method for semi-supervised learning on high dimensional nonlinear manifolds, which includes a phase of unsupervised basis learning and a phase of supervised function learning. The learned bases provide a set of anchor points to form a local coordinate system, such that each data point x on the manifold can be locally approximated by a linear combination of its nearby anchor points, and the linear weights become its local coordinate coding. We show that a high dimensional nonlinear function can be approximated by a global linear function with respect to this coding scheme, and the approximation quality is ensured by the locality of such coding. The method turns a difficult nonlinear learning problem into a simple global linear learning problem, which overcomes some drawbacks of traditional local learning methods.",Nonlinear Learning using Local Coordinate Coding,Semi-Supervised Learning on High Dimensional Nonlinear Manifolds,A Local Coordinate Coding Scheme for Semi-Supervised Learning on Nonlinear Manifolds,Local Coordinate Coding for Semi-Supervised Learning on High Dimensional Nonlinear Manifolds
33,"This paper provides a foundation for multi–task learning using reproducing kernel Hilbert spaces of vector–valued functions. In this setting, the kernel is a matrix–valued function. Some explicit examples will be described which go beyond our earlier results in [7]. In particular, we characterize classes of matrix– valued kernels which are linear and are of the dot product or the translation invariant type. We discuss how these kernels can be used to model relations between the tasks and present linear multi–task learning algorithms. Finally, we present a novel proof of the representer theorem for a minimizer of a regularization functional which is based on the notion of minimal norm interpolation.",Kernels for Multi--task Learning, Multi-Task Learning with Reproducing Kernel Hilbert Spaces,Multi-Task Learning with Reproducing Kernels,Multi-Task Learning with Reproducing Kernel Hilbert Spaces
34,"In this paper, we present a novel backward transliteration approach which can further assist the existing statistical model by mining monolingual web resources. Firstly, we employ the syllable-based search to revise the transliteration candidates from the statistical model. By mapping all of them into existing words, we can filter or correct some pseudo candidates and improve the overall recall. Secondly, an AdaBoost model is used to rerank the revised candidates based on the information extracted from monolingual web pages. To get a better precision during the reranking process, a variety of web-based information is exploited to adjust the ranking score, so that some candidates which are less possible to be transliteration names will be assigned with lower ranks. The experimental results show that the proposed framework can significantly outperform the baseline transliteration system in both precision and recall.",Chinese-English Backward Transliteration Assisted with Mining Monolingual Web Pages,Backward Transliteration with Syllable-Based Search Based on Web-based Information Extraction from Monolingual Web,Syllable-based Search for Backward Transliteration with Monolingual Web Resources,Syllable-Based Transliteration with Web Resources
35,"Existing studies on semantic parsing mainly focus on the in-domain setting. We formulate cross-domain semantic parsing as a domain adaptation problem: train a semantic parser on some source domains and then adapt it to the target domain. Due to the diversity of logical forms in different domains, this problem presents unique and intriguing challenges. By converting logical forms into canonical utterances in natural language, we reduce semantic parsing to paraphrasing, and develop an attentive sequence-to-sequence paraphrase model that is general and flexible to adapt to different domains. We discover two problems, small micro variance and large macro variance, of pre-trained word embeddings that hinder their direct use in neural networks, and propose standardization techniques as a remedy. On the popular Overnight dataset, which contains eight domains, we show that both cross-domain training and standardized pre-trained word embeddings can bring significant improvement.",Cross-domain Semantic Parsing via Paraphrasing,Cross-domain Semantic Parsing via Paraphrasing,Cross-Domain Semantic Parsing as Domain Adaptation,Cross-Domain Paraphrasing for Semantic Parsing
36,The paper introduces a penalized matrix estimation procedure aiming at solutions which are sparse and low-rank at the same time. Such structures arise in the context of social networks or protein interactions where underlying graphs have adjacency matrices which are block-diagonal in the appropriate basis. We introduce a convex mixed penalty which involves `1-norm and trace norm simultaneously. We obtain an oracle inequality which indicates how the two effects interact according to the nature of the target matrix. We bound generalization error in the link prediction problem. We also develop proximal descent strategies to solve the optimization problem efficiently and evaluate performance on synthetic and real data sets.,Estimation of Simultaneously Sparse and Low Rank Matrices.,Sparse and Low-Rank Matrix Estimation via Convex Mixed Penalties,Sparse and Low-Rank Matrix Estimation for Block-Diagonal Graphs with Sparse and Low Rank Effects,Sparse and Low-Rank Low-rank Matrix Estimation for Block-Diagonal Graphs with Application to Protein-Networks
37,"In this work, we revisit Shared Task 1 from the 2012 *SEM Conference: the automated analysis of negation. Unlike the vast majority of participating systems in 2012, our approach works over explicit and formal representations of propositional semantics, i.e. derives the notion of negation scope assumed in this task from the structure of logical-form meaning representations. We relate the task-specific interpretation of (negation) scope to the concept of (quantifier and operator) scope in mainstream underspecified semantics. With reference to an explicit encoding of semantic predicate-argument structure, we can operationalize the annotation decisions made for the 2012 *SEM task, and demonstrate how a comparatively simple system for negation scope resolution can be built from an off-the-shelf deep parsing system. In a system combination setting, our approach improves over the best published results on this task to date.",Simple Negation Scope Resolution through Deep Parsing: A Semantic Solution to a Semantic Problem,Simple Negation Scope Resolution through Deep Parsing: A Semantic Solution to a Semantic Problem,Automated Negation Analysis over Explicit and Formal Semantics,Negation Scope Resolution over Explicit and Formal Semantics
38,"A tree-structured multiplicative gamma process (TMGP) is developed, for inferring the depth of a tree-based factor-analysis model. This new model is coupled with the nested Chinese restaurant process, to nonparametrically infer the depth and width (structure) of the tree. In addition to developing the model, theoretical properties of the TMGP are addressed, and a novel MCMC sampler is developed. The structure of the inferred tree is used to learn relationships between high-dimensional data, and the model is also applied to compressive sensing and interpolation of incomplete images.",Tree-Structured Infinite Sparse Factor Model.,Tree-Structured Multiplicative Gamma Processes for Tree-based Factor Analysis,Tree-Structured Multiplicative Gamma Processes for Tree-based Factor Analysis,Tree-Structured Multiplicative Gamma Processes for Deep Factor Analysis
39,"Data-driven refinement of non-terminal categories has been demonstrated to be a reliable technique for improving monolingual parsing with PCFGs. In this paper, we extend these techniques to learn latent refinements of single-category synchronous grammars, so as to improve translation performance. We compare two estimators for this latent-variable model: one based on EM and the other is a spectral algorithm based on the method of moments. We evaluate their performance on a Chinese–English translation task. The results indicate that we can achieve significant gains over the baseline with both approaches, but in particular the momentsbased estimator is both faster and performs better than EM.",Latent-Variable Synchronous CFGs for Hierarchical Translation,Learning Latent Refinements of Synchronous Grammars for Statistical Machine Translation,Learning Latent Refinements of Synchronous Grammars for Improved Translation,Learning Latent Refinements of Synchronous Grammars for Statistical Machine Translation
