,abstract,title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
10,"We present a generalized discriminative model for spelling error correction which targets character-level transformations. While operating at the character level, the model makes use of wordlevel and contextual information. In contrast to previous work, the proposed approach learns to correct a variety of error types without guidance of manuallyselected constraints or language-specific features. We apply the model to correct errors in Egyptian Arabic dialect text, achieving 65% reduction in word error rate over the input baseline, and improving over the earlier state-of-the-art system.",Generalized Character-Level Spelling Error Correction,A Discriminative Model for Spelling Error Correction in Arabic Dialect Text,,A Generalized Discriminative Model for Spelling Error Correction with Character-Level Information,A Generalized Discriminative Model for Structural Error Correction, Generalized Discriminative Model for Spelling Error Correction,Generalized Discriminative Model for Character-Level Spelling Error Correction
11,"Multi-document summarization provides users with a short text that summarizes the information in a set of related documents. This paper introduces affinity-preserving random walk to the summarization task, which preserves the affinity relations of sentences by an absorbing random walk model. Meanwhile, we put forward adjustable affinity-preserving random walk to enforce the diversity constraint of summarization in the random walk process. The ROUGE evaluations on DUC 2003 topic-focused summarization task and DUC 2004 generic summarization task show the good performance of our method, which has the best ROUGE-2 recall among the graph-based ranking methods.",Affinity-Preserving Random Walk for Multi-Document Summarization,Affinity-Preserving Random Walk for Multi-Document Summarization,Affinity-Preserving Random Walk for Multi-document Summarization with Adaptive Random Walk Constraints and Divers,,Affinity-preserving Random Walk for Multi-Document Summarization, Affinity-Preserving Random Walk for Multi-Document Summarization,Affinity-preserving Random Walk for Multi-document Summarization
12,"Much of human dialogue occurs in semi-cooperative settings, where agents with different goals attempt to agree on common decisions. Negotiations require complex communication and reasoning skills, but success is easy to measure, making this an interesting task for AI. We gather a large dataset of human-human negotiations on a multi-issue bargaining task, where agents who cannot observe each other's reward functions must reach an agreement (or a deal) via natural language dialogue. For the first time, we show it is possible to train end-to-end models for negotiation, which must learn both linguistic and reasoning skills with no annotated dialogue states. We also introduce dialogue rollouts, in which the model plans ahead by simulating possible complete continuations of the conversation, and find that this technique dramatically improves performance. Our code and dataset are publicly available.",Deal or No Deal? End-to-End Learning of Negotiation Dialogues,Learning End-to-End Models for Negotiations in Human-Human Dialogue,Training End-to-End Negotiations for Multi-Issue Bilinguage: A Large Dataset and Training,,A Large Dataset of Human-Human Negotiations on a Multi-issue Negotiation Task, End-to-End Dialogue Learning for Multi-Issue Bargaining,Learning to Negotiation in Semi-Cooperative Dialogue Systems
13,"Minimal peer prediction mechanisms truthfully elicit private information (e.g., opinions or experiences) from rational agents without the requirement that ground truth is eventually revealed. In this paper, we use a geometric perspective to prove that minimal peer prediction mechanisms are equivalent to power diagrams, a type of weighted Voronoi diagram. Using this characterization and results from computational geometry, we show that many of the mechanisms in the literature are unique up to affine transformations, and introduce a general method to construct new truthful mechanisms.",A Geometric Method to Construct Minimal Peer Prediction Mechanisms,Minimal Peer Prediction Mechanisms are Equivalent to Power Diagrams,Geometric Analysis of Minimal Peer Prediction Mechanisms Truthfully Elicited from Rational Agents: Structure and Affine Transformations,Minimal Peer Prediction Mechanisms are Weighted Voronoi Diagrams,, Truthful Minimal Peer Prediction Mechanisms,Minimal Peer Prediction Mechanisms Are Like Power Diagram
14,We present a general Bayesian approach to probabilistic matrix factorization subject to linear constraints. The approach is based on a Gaussian observation model and Gaussian priors with bilinear equality and inequality constraints. We present an efficient Markov chain Monte Carlo inference procedure based on Gibbs sampling. Special cases of the proposed model are Bayesian formulations of nonnegative matrix factorization and factor analysis. The method is evaluated on a blind source separation problem. We demonstrate that our algorithm can be used to extract meaningful and interpretable features that are remarkably different from features extracted using existing related matrix factorization techniques.,Linearly constrained Bayesian matrix factorization for blind source separation,Bayesian Probabilistic Matrix Factorization with Linear Constraints,Bayesian Matrix Factorization with Gaussian Priors and Gibbs Sampling Based on Gaussian Observation for Nonnegative Matrix Factor,,Bayesian Probabilistic Matrix Factorization Subject to Linear Constraints, Bayesian Probabilistic Matrix Factorization,Probabilistic Matrix Factorization with Linear Constraints
15,"Research on temporal knowledge bases, which associate a relational fact (s,r,o) with a validity time period (or time instant), is in its early days. Our work considers predicting missing entities (link prediction) and missing time intervals (time prediction) as joint Temporal Knowledge Base Completion (TKBC) tasks, and presents TIMEPLEX, a novel TKBC method, in which entities, relations and, time are all embedded in a uniform, compatible space. TIMEPLEX exploits the recurrent nature of some facts/events and temporal interactions between pairs of relations, yielding state-of-the-art results on both prediction tasks. We also find that existing TKBC models heavily overestimate link prediction performance due to imperfect evaluation mechanisms. In response, we propose improved TKBC evaluation protocols for both link and time prediction tasks, dealing with subtle issues that arise from the partial overlap of time intervals in gold instances and system predictions.",Temporal Knowledge Base Completion: New Algorithms and Evaluation Protocols,Temporal Knowledge Base Completion with Missing Entities and Time Intervals,,TIMEPLEX: Joint Entity and Time Prediction for Temporal Knowledge Base Completion,TIMEPLEX: Joint Temporal Knowledge Base Completion, Joint Temporal Knowledge Base Completion and Time Prediction,Time: A Joint Temporal Knowledge Base Completion Method for Link and Time Prediction
16,"In the Colonel Blotto game, which was initially introduced by Borel in 1921, two colonels simultaneously distribute their troops across different battlefields. The winner of each battlefield is determined independently by a winner-take-all rule. The ultimate payoff of each colonel is the number of battlefields he wins. This game is commonly used for analyzing a wide range of applications such as the U.S presidential election, innovative technology competitions, advertisements, etc. There have been persistent efforts for finding the optimal strategies for the Colonel Blotto game. After almost a century Ahmadinejad, Dehghani, Hajiaghayi, Lucier, Mahini, and Seddighin provided a poly-time algorithm for finding the",Faster and Simpler Algorithm for Optimal Strategies of Blotto Game,Finding Optimal Strategies for the Colonel Blotto Game,The Colonel Blotto Game: Finding the optimal strategies for the Colonel-to-Colonot Strategy Across Different Batt battlefield,A Polynomial-Time Algorithm for the Colonel Blotto Game.,The Colonel Blotto Game: A Poly-Time Optimization Tool, Colonel Blotto: A Poly-Time Algorithm for Finding the Optimal Strategies for the Colored General,
17,"This paper proposes a new computational treatment of lexical rules as used in the HPSG framework. A compiler is described which translates a set of lexical rules and their interaction into a definite clause encoding, which is called by the base lexical entries in the lexicon. This way, the disjunctive possibilities arising from lexical rule application are encoded as systematic covariation in the specification of lexical entries. The compiler ensures the automatic transfer of properties not changed by a lexical rule. Program transformation techniques are used to advance the encoding. The final output of the compiler constitutes an efficient computational counterpart of the linguistic generalizations captured by lexical rules and allows on-the-fly application of lexical rules.",A Computational Treatment of Lexical Rules in HPSG as Covariation in Lexical Entries,A Computational Treatment of Lexical Rules in HPSG,A Computational Treatment of Lexical Rules in HPSG-based Lexical Grammars for Linguistic Generalization,A Computational Treatment of Lexical Rules and their Interactions,, A Computational Approach to Lexical Rules,Computational Covariation of Lexical Rules in HPSG
18,"We consider the task of automatically identifying participants’ motivations in the public health campaign Movember and investigate the impact of the different motivations on the amount of campaign donations raised. Our classification scheme is based on the Social Identity Model of Collective Action (van Zomeren et al., 2008). We find that automatic classification based on Movember profiles is fairly accurate, while automatic classification based on tweets is challenging. Using our classifier, we find a strong relation between types of motivations and donations. Our study is a first step towards scaling-up collective action research methods.",#SupportTheCause: Identifying Motivations to Participate in Online Health Campaigns,Automatic Identification of Participants' Motives in the Public Health Campaign Movember,Automatic Classification of Participants' Motivations in Movember Campaigns Using Collective Action Research and Social Identity Model of Collective Action,Automatic classification of Movember participants' motivations and donations,Identifying Motivations in the Public Health Campaign Movember,,Identifying Participants' Motivatedness in the Movember Campaign
19,"We propose a metric learning framework for the construction of invariant geometric functions of planar curves for the Euclidean and Similarity group of transformations. We leverage on the representational power of convolutional neural networks to compute these geometric quantities. In comparison with axiomatic constructions, we show that the invariants approximated by the learning architectures have better numerical qualities such as robustness to noise, resiliency to sampling, as well as the ability to adapt to occlusion and partiality. Finally, we develop a novel multi-scale representation in a similarity metric learning paradigm.",Learning Invariant Representations Of Planar Curves,Learning invariant geometric functions of planar curves for Euclidean and Similarity transformations,Metric Learning of Invariant Geometric Functions for Euclidean and Similarity Metric Learning with Convolutional Neural,,Invariant Geometry of Planar Curves for Euclidean and Similarity, A Metric Learning Framework for Planar Curves,Similarity Metric Learning with Convolutional Neural Networks.
20,"Semantic grammars can be applied both as a language model for a speech recognizer and for semantic parsing, e.g. in order to map the output of a speech recognizer into formal meaning representations. Semantic speech recognition grammars are, however, typically created manually or learned in a supervised fashion, requiring extensive manual effort in both cases. Aiming to reduce this effort, in this paper we investigate the induction of semantic speech recognition grammars under weak supervision. We present empirical results, indicating that the induced grammars support semantic parsing of speech with a rather low loss in performance when compared to parsing of input without recognition errors. Further, we show improved parsing performance compared to applying n-gram models as language models and demonstrate how our semantic speech recognition grammars can be enhanced by weights based on occurrence frequencies, yielding an improvement in parsing performance over applying unweighted grammars.",Semantic parsing of speech using grammars learned with weak supervision,Weakly Supervised Induction of Semantic Speech Recognition Grammars,Inducing Semantic Speech Recognition Grammars under Weak Supervision for Improved Parsing and Semantic Parsing of Speech,Weakly Supervised Induction of Semantic Speech Recognition Grammars,Learning Semantic Speech Recognition Grammars under weak supervision, Improving Semantic Speech Recognition Grammars with Weak Supervision,
21,"Bilingual lexicons are fundamental resources. Modern automated lexicon generation methods usually require parallel corpora, which are not available for most language pairs. Lexicons can be generated using non-parallel corpora or a pivot language, but such lexicons are noisy. We present an algorithm for generating a high quality lexicon from a noisy one, which only requires an independent corpus for each language. Our algorithm introduces non-aligned signatures (NAS), a cross-lingual word context similarity score that avoids the over-constrained and inefficient nature of alignment-based methods. We use NAS to eliminate incorrect translations from the generated lexicon. We evaluate our method by improving the quality of noisy Spanish-Hebrew lexicons generated from two pivot English lexicons. Our algorithm substantially outperforms other lexicon generation methods.",Bilingual Lexicon Generation Using Non-Aligned Signatures,,Non-Aligned Signatures for Bilingual Lexicon Generation from Noisy Corpora using Non-Parallel Corpora and,Generating Noisy Bilingual Lexicons with Non-aligned Signatures,Non-Aligned Signatures for Bilingual Lexicons Generation, Pivot Language Lexicon Generation with Non-Parallel Corpora,Non-aligned Signatures for Noisy Bilingual Lexicon Generation
22,"In this paper, we address the task of mapping high-level instructions to sequences of commands in an external environment. Processing these instructions is challenging—they posit goals to be achieved without specifying the steps required to complete them. We describe a method that fills in missing information using an automatically derived environment model that encodes states, transitions, and commands that cause these transitions to happen. We present an efficient approximate approach for learning this environment model as part of a policygradient reinforcement learning algorithm for text interpretation. This design enables learning for mapping high-level instructions, which previous statistical methods cannot handle.1",Reading between the Lines: Learning to Map High-Level Instructions to Commands,Mapping High-Level Instructions to Sequences in an Environment,Mapping Instructions to Sequences of Decoders in an External Environment using a Policy-Gradient Reinforcement Learning Algorithm,Mapping High-Level Instructions to Sequences of Commands in an Environment,, Mapping High-Level Instructions to Sequences of Descriptions,Mapping Instructions to Sequences of Actions in an External Environment
23,"This paper investigates how hidden layers of deep rectifier networks are capable of transforming two or more pattern sets to be linearly separable while preserving the distances with a guaranteed degree, and proves the universal classification power of such distance preserving rectifier networks. Through the nearly isometric nonlinear transformation in the hidden layers, the margin of the linear separating plane in the output layer and the margin of the nonlinear separating boundary in the original data space can be closely related so that the maximum margin classification in the input data space can be achieved approximately via the maximum margin linear classifiers in the output layer. The generalization performance of such distance preserving deep rectifier neural networks can be well justified by the distance-preserving properties of their hidden layers and the maximum margin property of the linear classifiers in the output layer.",How Can Deep Rectifier Networks Achieve Linear Separability and Preserve Distances?,Hidden layers of deep rectifier networks are linearly separable,,Hidden layers of deep rectifier neural networks can transform pattern sets into linearly separable units,Distance Preserving Deep Korrelier Neural Networks, Distance preserving deep rectifier networks,Universal Distance Preserving of Deep Neural Networks
24,"S OF CURRENT LITERATURE For copies of the following papers on Project SEMSYN, write to Frau HOrmann c / o Project SEMSYN Institut for Informatik Universitat Stuttgart Azenbergstrasse 12 D-7000 Stuttgart 1, West Germany When Mariko Talks to Siegfried Experiences from a Japanese /German Machine",Abstracts of Current Literature,Project SEMSYN: A Study of Current Literature in German,The Current LITERATURE: A Frau Heterosyntactic Corpus for Project Semantics and its Application to the,Project SEMYN: A Study of Current Literature,Frau HOrmann c /o Project SEMSYN, Project Semsyn: An Introduction to the Project,
25,We study the problem of learning to track a large quantity of homogeneous objects such as cell tracking in cell culture study and developmental biology. Reliable cell tracking in time-lapse microscopic image sequences is important for modern biomedical research. Existing cell tracking methods are usually kept simple and use only a small number of features to allow for manual parameter tweaking or grid search. We propose a structured learning approach that allows to learn optimum parameters automatically from a training set. This allows for the use of a richer set of features which in turn affords improved tracking compared to recently reported methods on two public benchmark sequences.,Structured Learning for Cell Tracking,A Structured Learning Approach for Reliable Cell Tracking in Microscapes,Structured Learning for Reliable Cell Tracking in Microscaling Time-Lapse Microscapes: A Structured Learning Approach,Structured Learning for Cell Tracking in Time-Lapse Microscopic Images,Learning to Track a Large Quantity of Homogeneous Objects, Structured Learning for Cell Tracking in Time-Lapse Microarray Sequences,
26,"We show that the state-of-the-art Transformer MT model is not biased towards monotonic reordering (unlike previous recurrent neural network models), but that nevertheless, long-distance dependencies remain a challenge for the model. Since most dependencies are short-distance, common evaluation metrics will be little influenced by how well systems perform on them. We therefore propose an automatic approach for extracting challenge sets rich with long-distance dependencies, and argue that evaluation using this methodology provides a complementary perspective on system performance. To support our claim, we compile challenge sets for English-German and German-English, which are much larger than any previously released challenge set for MT. The extracted sets are large enough to allow reliable automatic evaluation, which makes the proposed approach a scalable and practical solution for evaluating MT performance on the long-tail of syntactic phenomena.",Automatically Extracting Challenge Sets for Non-Local Phenomena in Neural Machine Translation,Towards Automatic Evaluation of Machine Translation Systems,Evaluating Machine Translation with Long-distance Dependencies: An Automatic Approach to the State-of-the-Art Trans,,Extraction of Challenge Sets with Long-Distance Dependencies, Extracting Challenge Sets Rich with Long-Distance Dependencies,Automatic Evaluation of Long-Tailed Syntactic Challenges for Transformer MT
27,"This work presents a first step to a general implementation of the Semantic-Script Theory of Humor (SSTH). Of the scarce amount of research in computational humor, no research had focused on humor generation beyond simple puns and punning riddles. We propose an algorithm for mining simple humorous scripts from a semantic network (ConceptNet) by specifically searching for dual scripts that jointly maximize overlap and incongruity metrics in line with Raskin’s Semantic-Script Theory of Humor. Initial results show that a more relaxed constraint of this form is capable of generating humor of deeper semantic content than wordplay riddles. We evaluate the said metrics through a user-assessed quality of the generated two-liners.",Humor as Circuits in Semantic Networks,Mining Simple Humor for Semantic-Script Theory of Humor,,Mining Semantic Scripts for Humor Generation,Semantic-Script Theory of Humor: Exploiting Simple Humor from ConceptNet, Computational Linguistic Humor Mining,Generating Two-liners from a Semantic Network
28,"Authorship attribution is an active research area which has been prevalent for many decades. Nevertheless, the majority of approaches consider problem sizes of a few candidate authors only, making them difficult to apply to recent scenarios incorporating thousands of authors emerging due to the manifold means to digitally share text. In this study, we focus on such large-scale problems and propose to effectively reduce the number of candidate authors before applying common attribution techniques. By utilizing document embeddings, we show on a novel, comprehensive dataset collection that the set of candidate authors can be reduced with high accuracy. Moreover, we show that common authorship attribution methods substantially benefit from a preliminary reduction if thousands of authors are involved.",Reduce & Attribute: Two-Step Authorship Attribution for Large-Scale Problems,Reducing the Number of Candidate Authors for Authorship Attribution,Authorship Attribution via Document Embeddings and Manifold Representations: A Dataset and Application to Large-Scale,,Using Document Embeddings to Reduce Authorship Attribution, Large-Scale Authorship Attribution Using Document Embeddings,Large-Scale Authorship Attribution with Document Embeddings
29,"Continuous-space translation models have recently emerged as extremely powerful ways to boost the performance of existing translation systems. A simple, yet effective way to integrate such models in inference is to use them in an N -best rescoring step. In this paper, we focus on this scenario and show that the performance gains in rescoring can be greatly increased when the neural network is trained jointly with all the other model parameters, using an appropriate objective function. Our approach is validated on two domains, where it outperforms strong baselines.",A Discriminative Training Procedure for Continuous Translation Models,Neural Rescoring for Continuous-Space Translation,,Rescoring with Joint Neural Networks for Continuous-Space Translation Models,Continuous-Space Translation Models in Inference, Jointly Training Neural Networks for Continuous-Space Translation,Jointly Training Neural Networks for Rescoring in Continuous-Space Translation
30,"This paper aims to understand and improve the utility of the dropout operation from the perspective of game-theoretic interactions. We prove that dropout can suppress the strength of interactions between input variables of deep neural networks (DNNs). The theoretic proof is also verified by various experiments. Furthermore, we find that such interactions were strongly related to the over-fitting problem in deep learning. Thus, the utility of dropout can be regarded as decreasing interactions to alleviate the significance of over-fitting. Based on this understanding, we propose an interaction loss to further improve the utility of dropout. Experimental results have shown that the interaction loss can effectively improve the utility of dropout and boost the performance of DNNs.",Interpreting and Boosting Dropout from a Game-Theoretic View,,Understanding and Improving the Utility of Deep Neural Networks with Game-Theoretic Interaction Loss for Over-fitting DNN,The Utility of Dropout in Deep Neural Networks via Game-Theoretic Interactions,Learning the Utility of Dropout from Game-Theoretic Interactions, On the Utility of Dropout in Deep Learning,Understanding and Improving the Utility of Dropout in Deep Neural Networks
31,"There has recently been a lot of interest in unsupervised methods for learning sense distributions, particularly in applications where sense distinctions are needed. This paper analyses a state-of-the-art method for sense distribution learning, and optimises it for application to the entire vocabulary of a given language. The optimised method is then used to produce LEXSEMTM: a sense frequency and semantic dataset of unprecedented size, spanning approximately 88% of polysemous, English simplex lemmas, which is released as a public resource to the community. Finally, the quality of this data is investigated, and the LEXSEMTM sense distributions are shown to be superior to those based on the WORDNET first sense for lemmas missing from SEMCOR, and at least on par with SEMCOR-based distributions otherwise.",LexSemTm: A Semantic Dataset Based on All-words Unsupervised Sense Distribution Learning,,Optimising Sense Distributions Using LEXSEMTM: An Empirical Study of the State-of-the,LEXSEMTM: A Large-Scale Unsupervised Learning of Sense Distributions for English,LEXSEMTM: An Unsupervised Method for Learning Sense Distributions, Unsupervised Learning of Sense Distributions,LEXSEMTM: A Sense Distribution Model for the Entire Vocabulary of a Language
32,"This paper introduces a new method for semi-supervised learning on high dimensional nonlinear manifolds, which includes a phase of unsupervised basis learning and a phase of supervised function learning. The learned bases provide a set of anchor points to form a local coordinate system, such that each data point x on the manifold can be locally approximated by a linear combination of its nearby anchor points, and the linear weights become its local coordinate coding. We show that a high dimensional nonlinear function can be approximated by a global linear function with respect to this coding scheme, and the approximation quality is ensured by the locality of such coding. The method turns a difficult nonlinear learning problem into a simple global linear learning problem, which overcomes some drawbacks of traditional local learning methods.",Nonlinear Learning using Local Coordinate Coding,Local Coordinate Coding for Semi-Supervised Nonlinear Manifolds,,A Local Coordinate Coding Scheme for Semi-Supervised Learning on Nonlinear Manifolds,Semi-Supervised Learning on High Dimensional Nonlinear Manifolds, Semi-Supervised Learning on High Dimensional Nonlinear Manifolds,Global Linear Programming for Semi-Supervised Learning on High Dimensional Manifolds
33,"This paper provides a foundation for multi–task learning using reproducing kernel Hilbert spaces of vector–valued functions. In this setting, the kernel is a matrix–valued function. Some explicit examples will be described which go beyond our earlier results in [7]. In particular, we characterize classes of matrix– valued kernels which are linear and are of the dot product or the translation invariant type. We discuss how these kernels can be used to model relations between the tasks and present linear multi–task learning algorithms. Finally, we present a novel proof of the representer theorem for a minimizer of a regularization functional which is based on the notion of minimal norm interpolation.",Kernels for Multi--task Learning,Linear Multi-Task Learning with Matrix-Valued Kernels,Multi-Task Learning with Minimal Norm Interpolation and Matrix-Valued Kernel Hilbert Spaces of Vector-valued Functions.,Multi-Task Learning with Reproducing Kernels,, Multi-Task Learning with Reproducing Kernel Hilbert Spaces,Multi-Task Learning with Matrix-Valued Kernels
