,id,abstract,title,humor
10,56,"Information on (changes in) standing and lying behaviour of cows can be used for oestrus detection, early diagnosis of disorders and to evaluate welfare consequences of changes in housing and management. Data sets on lying and standing behaviour were collected from cows with IceTag™ sensors fitted to the leg. Data were obtained with 10 late-pregnant indoor-housed beef cows (Exp. 1), 19 out-wintered beef cows (Exp. 2) and 44 housed lactating dairy cows that were milked three times daily (Exp. 3). During part of Exp. 1 video footage was recorded to validate the sensor records. Data were analysed with the aims of estimating objective lying and standing bout criteria and to test two hypotheses. These hypotheses were that (i) the probability of cows standing up would increase with the length of time the animal had been lying down and (ii) the probability of cows lying down would increase with the length of time the animal had been standing. A total of 10,814, 39,089 and 9405 lying episodes were recorded by the sensors in Exp. 1–3, respectively. On the basis of log–survivorship plots, frequency distributions of (log-transformed) lying episode lengths and analysis of the correspondence between recorded lying episodes and video footage of lying behaviour, a minimum lying bout criterion of 4 min was indicated. Application of this criterion reduced the number of lying episodes by between 62% and 88% in the three experiments, even though this had only minor effects on total estimated lying and standing time (changes between 0.5% and 3.2%). Out-wintered beef cows tended to have fewer but longer lying bouts than the other groups and dairy cows had the shortest total lying time. (11.6, 10.5 and 10.2 h/day in Exp. 1–3, respectively). The probability of cows standing up within the next 15 min increased (P < 0.001) with lying time in all experiments, which was consistent with the first hypothesis. The probability of cows lying down within the next 15 min did not significantly increase with standing time. This lack of change in probability was not caused by pooling of data across day and night or across cows with different behavioural strategies. Our second hypothesis was, therefore, refuted because cows were not more likely to lie down the longer they had been standing.",Are cows more likely to lie down the longer they stand?,0.25
11,57,"Wheat breakfast flakes were compacted in a cylindrical geometry using two different techniques and the volume measured as a function of applied pressure from 100 Pa to 85 MPa. The effect of water content, in the range 4 to 18% (wet weight basis), on the compaction behaviour of the flakes was examined for pressures from 1 to 85 MPa. The data were analysed using different relationships between density and applied pressure in accordance with Peleg, Kawakita and Heckel. The Heckel deformation stress decreased as the water content increased up to 12% and became inaccurate at 18% water. The Peleg compressibility and Kawakita yield stress only showed a marked decrease from 12 to 18% water. Collectively, these results agree qualitatively with other observations of the decrease in stiffness of single flakes over this water content range.",A study of the effects of water content on the compaction behaviour of breakfast cereal flakes,0.0
12,60,"Face pareidolia is the illusory perception of non-existent faces. The present study, for the first time, contrasted behavioral and neural responses of face pareidolia with those of letter pareidolia to explore face-specific behavioral and neural responses during illusory face processing. Participants were shown pure-noise images but were led to believe that 50% of them contained either faces or letters; they reported seeing faces or letters illusorily 34% and 38% of the time, respectively. The right fusiform face area (rFFA) showed a specific response when participants “saw” faces as opposed to letters in the pure-noise images. Behavioral responses during face pareidolia produced a classification image (CI) that resembled a face, whereas those during letter pareidolia produced a CI that was letter-like. Further, the extent to which such behavioral CIs resembled faces was directly related to the level of face-specific activations in the rFFA. This finding suggests that the rFFA plays a specific role not only in processing of real faces but also in illusory face perception, perhaps serving to facilitate the interaction between bottom-up information from the primary visual cortex and top-down signals from the prefrontal cortex (PFC). Whole brain analyses revealed a network specialized in face pareidolia, including both the frontal and occipitotemporal regions. Our findings suggest that human face processing has a strong top-down component whereby sensory input with even the slightest suggestion of a face can result in the interpretation of a face.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Seeing Jesus in toast: Neural and behavioral correlates of face pareidolia,0.75
13,64,"In two experiments, we investigated whether body posture influences people's estimation of quantities. According to the mental-number-line theory, people mentally represent numbers along a line with smaller numbers on the left and larger numbers on the right. We hypothesized that surreptitiously making people lean to the right or to the left would affect their quantitative estimates. Participants answered estimation questions while standing on a Wii Balance Board. Posture was manipulated within subjects so that participants answered some questions while they leaned slightly to the left, some questions while they leaned slightly to the right, and some questions while they stood upright. Crucially, participants were not aware of this manipulation. Estimates were significantly smaller when participants leaned to the left than when they leaned to the right.",Leaning to the left makes the Eiffel Tower seem smaller: posture-modulated estimation,1.0
14,67,"When a half-full Bordeaux glass is oscillated sideways at 4Hz, calm waves of wine gently ripple upon the surface. However, when a cylindrical mug is subject to the same motion, it does not take long for the liquid to splash aggressively against the cup and ultimately spill. This is a manifestation of the same principles that also make us spill coffee when we walk. In this study, we first investigate the physical properties of the fluid-structure interaction of the coffee cup; in particular, the frequency spectrum of each oscillating component is examined methodically. It is revealed that the cup's oscillation is not monochromatic: harmonic modes exist, and their proportions are significant. As a result, although the base frequency of the cup is considerably displaced from the resonance region, maximum spillage is initiated by the second harmonic mode of driving force that the cup exerts on its contents. Thus, we spill coffee. As an application of these experimental findings, a number of methods to reduce liquid spillage are investigated. Most notably, an alternative method to hold the cup is suggested; in essence, by altering the mechanical structure of the cup-holding posture, we can effectively suppress the higher frequency components of the driving force and thus stabilize the liquid oscillation. In an attempt to rationalize all we have investigated above, a mechanical model is proposed. Due to practicalities, rather than to construct a dynamical system using Newton's equation of motion, we choose to utilize the Euler-Lagrangian equations. Extensive simulation studies reveal that our model, crude in its form, successfully embodies the essential facets of reality. This liberates us to make two predictions that were beyond our experimental limits: the change in magnitude of the driving force and the temporal stabilization process.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",A Study on the Coffee Spilling Phenomena in the Low Impulse Regime,0.25
15,73,"To investigate the hypothesis that wearing socks over shoes improves traction on icy footpaths. Randomised controlled trial involving 30 pedestrians (median age 21 years, range 18-70) travelling in a downhill direction on icy public footpaths at two sites in Dunedin, New Zealand. Intervention: different coloured socks applied over normal footwear or usual practice (unadulterated footwear). Primary outcome: difference in mean self-reported slipperiness on a 5-point scale. Secondary outcomes: falls, observer-rated slipperiness, observer-rated confidence, time to descend study slope. Two-thirds of participants (65%) had previously fallen on ice. Wearing socks over normal footwear was associated with a statistically significant improvement in traction; the difference in mean self-reported slipperiness scores between the control (n=15) and intervention (n=14) groups was 1.3 (95%CI: 0.4-2.3). Agreement between self-rated and observer-rated slipperiness was high (r=0.70). A higher proportion of the intervention group (71% vs 53%) appeared confident. One member of the control group fell. There was no evidence of risk compensation in the intervention group (difference in mean descent times 1.9 seconds, 95%CI: -6.1-10.0). The only adverse events were short periods of indignity for some members of the intervention group. Wearing socks over shoes appears to be an effective and inexpensive method to reduce the likelihood of slipping on icy footpaths.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",Preventing winter falls: A randomised controlled trial of a novel intervention,-0.25
16,78,"We investigate the dynamics of toast tumbling from a table to the floor. Popular opinion is that the 6nal state is usually butter-sidedown, andconstitutesprimnfncie evidence of Murphy’s Law (‘If it can go wrong, it will?. The orthodox view, in contrast, is Lhat the phenomenon is essentially random, with a 50/50 split of possible outcomes. We showthat toast does indeed have an inherent tendency to land butter-side down for a wide range of conditions Furthermore, we show that thisoutcome is ultimately ascribable to the values of the fundamental constants. As such, this manifestation of Murphy’s Law appears to be an ineluctable feature of our universe.","Tumbling toast, Murphy's Law and the fundamental constants",0.25
17,79,"The physiology and pathology of different methods of capital punishment are described. Information about this physiology and pathology can be derived from observations on the condemned persons, postmortem examinations, physiological studies on animals undergoing similar procedures, and the literature on emergency medicine. It is difficult to know how much pain the person being executed feels or for how long, because many of the signs of pain are obscured by the procedure or by physical restraints, but one can identify those steps which are likely to be painful. The general view has been that most of the methods used are virtually painless, and lead to rapid dignified death. Evidence is presented which shows that, with the possible exception of intravenous injection, this view is almost certainly wrong.",The Possible Pain Experienced during Execution by Different Methods,-0.25
18,93,"Although bullshit is common in everyday life and has attracted attention from philosophers, its reception (critical or ingen- uous) has not, to our knowledge, been subject to empirical investigation. Here we focus on pseudo-profound bullshit, which consists of seemingly impressive assertions that are presented as true and meaningful but are actually vacuous. We presented participants with bullshit statements consisting of buzzwords randomly organized into statements with syntactic structure but no discernible meaning (e.g., “Wholeness quiets infinite phenomena”). Across multiple studies, the propensity to judge bull- shit statements as profound was associated with a variety of conceptually relevant variables (e.g., intuitive cognitive style, supernatural belief). Parallel associations were less evident among profundity judgments for more conventionally profound (e.g., “A wet person does not fear the rain”) or mundane (e.g., “Newborn babies require constant attention”) statements. These results support the idea that some people are more receptive to this type of bullshit and that detecting it is not merely a matter of indiscriminate skepticism but rather a discernment of deceptive vagueness in otherwise impressive sounding claims. Our re- sults also suggest that a bias toward accepting statements as true may be an important component of pseudo-profound bullshit receptivity.",On the Reception and Detection of Pseudo-Profound Bullshit,0.75
19,101,"This research examines the role of alcohol consumption on self-perceived attractiveness. Study 1, carried out in a barroom (N= 19), showed that the more alcoholic drinks customers consumed, the more attractive they thought they were. In Study 2, 94 non-student participants in a bogus taste-test study were given either an alcoholic beverage (target BAL [blood alcohol level]= 0.10 g/100 ml) or a non-alcoholic beverage, with half of each group believing they had consumed alcohol and half believing they had not (balanced placebo design). After consuming beverages, they delivered a speech and rated how attractive, bright, original, and funny they thought they were. The speeches were videotaped and rated by 22 independent judges. Results showed that participants who thought they had consumed alcohol gave themselves more positive self-evaluations. However, ratings from independent judges showed that this boost in self-evaluation was unrelated to actual performance.",Beauty is in the eye of the beer holder': people who think they are drunk also think they are attractive,1.0
20,115,"People tend to hold overly favorable views of their abilities in many social and intellectual domains. The authors suggest that this overestimation occurs, in part, because people who are unskilled in these domains suffer a dual burden: Not only do these people reach erroneous conclusions and make unfortunate choices, but their incompetence robs them of the metacognitive ability to realize it. Across 4 studies, the authors found that participants scoring in the bottom quartile on tests of humor, grammar, and logic grossly overestimated their test performance and ability. Although their test scores put them in the 12th percentile, they estimated themselves to be in the 62nd. Several analyses linked this miscalibration to deficits in metacognitive skill, or the capacity to distinguish accuracy from error. Paradoxically, improving the skills of participants, and thus increasing their metacognitive competence, helped them recognize the limitations of their abilities.",Unskilled and Unaware of It: How Difficulties in Recognizing Ones Own Incompetence Lead to Inflated Self-Assessments.,0.25
21,116,"The effect of wearing different types of textiles on sexual activity was studied in 75 rats which were divided into five equal groups: four test groups and one control. Each of the four test groups were dressed in one type of textile pants made of either 100% polyester, 50/50% polyester/cotton mix, 100% cotton or 100% wool. Sexual behaviour was assessed before and after 6 and 12 months of wearing the pants and 6 months after their removal. The rate of intromission to mounting (I/M) was determined. The electrostatic potentials generated on penis and scrotum were also measured by electrostatic kilovoltameter. At 6 and 12 months of wearing the polyester and polyester-cotton mix pants, the I/M ratio was significantly reduced compared to the pre-test levels and the controls (p < 0.0001). The reduction was more manifest in the polyester than in the polyester-cotton mix group, and at the 12th month than at the 6th month of examination. The I/M ratio of the cotton and wool groups showed insignificant changes (p > 0.05) at the 6th month of the study and a significant increase at the 12th month (p < 0.01). Six months after removal of the pants, the I/M ratio returned to the pre-test levels (p > 0.05) in the four groups. The polyester-containing pants generated electrostatic potentials while the other textiles did not. These potentials seem to induce 'electrostatic fields' in the intrapenile structures, which could explain the decrease in the rats' sexual activity.",Effect of different types of textiles on sexual activity. Experimental study,0.25
22,127,"Imitation is a cornerstone of human development, serving both a cognitive function (e.g. in the acquisition and transmission of skills and knowledge) and a social–communicative function, whereby the imitation of familiar actions serves to maintain social interaction and promote prosociality. In nonhuman primates, this latter function is poorly understood, or even claimed to be absent. In this observational study, we documented interactions between chimpanzees and zoo visitors and found that the two species imitated each other at a similar rate, corresponding to almost 10% of all produced actions. Imitation appeared to accomplish a social–communicative function, as cross-species interactions that contained imitative actions lasted significantly longer than interactions without imitation. In both species, physical proximity promoted cross-species imitation. Overall, imitative precision was higher among visitors than among chimpanzees, but this difference vanished in proximity contexts, i.e. in the indoor environment. Four of five chimpanzees produced imitations; three of them exhibited comparable imitation rates, despite large individual differences in level of cross-species interactivity. We also found that chimpanzees evidenced imitation recognition, yet only when visitors imitated their actions (as opposed to postures). Imitation recognition was expressed by returned imitation in 36% of the cases, and all four imitating chimpanzees engaged in so-called imitative games. Previously regarded as unique to early human socialization, such games serve to maintain social engagement. The results presented here indicate that nonhuman apes exhibit spontaneous imitation that can accomplish a communicative function. The study raises a number of novel questions for imitation research and highlights the imitation of familiar behaviours as a relevant—yet thus far understudied—research topic.                                                                                                                                                                                                                                                                                                                                                                                                                                    ",Spontaneous cross-species imitation in interactions between chimpanzees and zoo visitors,0.5
23,133,"Traffic accidents are a major cause of death and injury in the world. Generally speaking about aggression, evidence has shown that drivers who usually express aggressive behaviors more frequently tend, at the same time, to have higher rates of road crashes or traffic incidents. Furthermore, in most cases, the situations in which aggressive behaviors appear are typical of normal current traffic conditions, turning this behavior into something very common, and into a very serious road safety issue. This has also been related with the clear lack of Road Safety Education that is evident in most of the countries. The aim of this study was to describe the factors and perceptions related to the aggressive behavior of verbally insulting and shouting while driving. In this study, an extensive list of behaviors, that experts more or less unanimously consider as aggressive driving, was described; one of them was labeled shouting and insulting. The sample was obtained from a random sampling proportional to and representative of the segments of the population by age, sex, region and size of the municipality. The survey was aimed at Spanish drivers over 14 years. The starting sample size was 1,100 surveys. As a result, shouting and insulting is not considered such a dangerous offense as it is driving under the influence of alcohol, but we cannot deny that there are many types of bad or risky maneuvers that could be banned from a legal point of view. The degree of social tolerance towards such behavior is variable. Some individuals merely ignore them, accepting them as something inevitable. Multiple types of risky maneuvers and deliberated misbehaviors, which are (formally and informally) already forbidden from a legal point of view, make other drivers and pedestrians uncomfortable and restrict their movements, creating violent, stressful and risky situations, and they are still performed by drivers. In short, aggression in driving is one of them. As a conclusion, there is a high prevalence of this phenomenon among Spanish drivers. Furthermore, most of the aggressive expressions related to shouting and cursing on the road are preceded by subjective factors such as stress, fatigue and personality traits, which may be intervened through the strengthening of road safety education and road safety campaigns ","Shouting and Cursing while Driving: Frequency, Reasons, Perceived Risk and Punishment",0.0
24,137,"A word like Huh?--used as a repair initiator when, for example, one has not clearly heard what someone just said--is found in roughly the same form and function in spoken languages across the globe. We investigate it in naturally occurring conversations in ten languages and present evidence and arguments for two distinct claims: that Huh? is universal, and that it is a word. In support of the first, we show that the similarities in form and function of this interjection across languages are much greater than expected by chance. In support of the second claim we show that it is a lexical, conventionalised form that has to be learnt, unlike grunts or emotional cries. We discuss possible reasons for the cross-linguistic similarity and propose an account in terms of convergent evolution. Huh? is a universal word not because it is innate but because it is shaped by selective pressures in an interactional environment that all languages share: that of other-initiated repair. Our proposal enhances evolutionary models of language change by suggesting that conversational infrastructure can drive the convergent cultural evolution of linguistic items.","Is ""huh?"" a universal word? Conversational infrastructure and the convergent evolution of linguistic items                           ",0.75
25,144,"In this paper we report on a system, ""SpeechJammer"", which can be used to disturb people's speech. In general, human speech is jammed by giving back to the speakers their own utterances at a delay of a few hundred milliseconds. This effect can disturb people without any physical discomfort, and disappears immediately by stop speaking. Furthermore, this effect does not involve anyone but the speaker. We utilize this phenomenon and implemented two prototype versions by combining a direction-sensitive microphone and a direction-sensitive speaker, enabling the speech of a specific person to be disturbed. We discuss practical application scenarios of the system, such as facilitating and controlling discussions. Finally, we argue what system parameters should be examined in detail in future formal studies based on the lessons learned from our preliminary study.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",SpeechJammer: A System Utilizing Artificial Speech Disturbance with Delayed Auditory Feedback,-0.5
26,145,"With the extreme dimensionality of functional neuroimaging data comes extreme risk for false positives. Across the 130,000 voxels in a typical fMRI volume the probability of a false positive is almost certain. Correction for multiple comparisons should be completed with these datasets, but is often ignored by investigators. To illustrate the magnitude of the problem we carried out a real experiment that demonstrates the danger of not correcting for chance properly.",Neural correlates of interspecies perspective taking in the post-mortem Atlantic Salmon: an argument for multiple comparisons correction,-0.75
27,149,"Sighing and the interpretation of sighs in everyday life seem never to have been the subject of psychological research. A questionnaire study of sighing showed that people associate sighing mainly with negative, low-intensity and deactivated emotional states. A second study investigated self/other differences in the interpretation of sighs in four hypothetical situations, revealing that sighs in other people are primarily perceived as signs of sadness, whereas own sighs are more often believed to express a state of ""giving up"" something or somebody. In a third experimental study participants worked on difficult (insoluble) puzzles, which generated many futile solution attempts, often accompanied by sighs. It is concluded that sighs are often unintentional expressions of an activity, plan or desire that has to be discarded, creating a pause before it can be replaced by a novel initiative.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ","Is a sigh ""just a sigh""? Sighs as emotional signals and responses to a difficult task                                                ",0.0
28,150,"A theoretical analysis and an experimental investigation of certain aspects of automobile driver information processing were undertaken. The theo- retical analysis was the result of an effort to avoid difficulties associated with a servomechanistic approach to the automobile driving problem. The analysis is predicated on the assumption that a driver's attention is, in general, not continuously but only intermittently directed to the road. Be- tween observations, uncertainty about both the position of his own vehicle on the road and the possible presence of other vehicles or obstacles in- creases until it exceeds a threshold. At that moment in time, the driver looks again at the road. This simple model appears to be a useful analog of the driving process. The analysis makes specific predictions about the form of the functional relationship between intervals between observations and vehicle speed. The experimental program had two goals. One was the empirical in- vestigation of the relation between amount of interruption of vision and driving speed. The other was the determination for various drivers and various roads of the values of some of the parameters in the mathematical model. This report presents the results of the theoretical and experi- mental investigation. In general, the model is a fair approximation of actual behavior and it remains for future work to determine whether this approximation is good enough to be useful for the specification of vehicle, highway, and user characteristics.",The Attentional Demand of Automobile Driving,-1.0
